station_id,origin_epoch,predicted_for_epoch,lead_hours,actual_kw,predicted_kw,error_kw
1,1787832000,1787835600,1,34.976,33.9764,-0.999555
1,1787832000,1787853600,6,64.402,88.8947,24.4927
1,1787832000,1787918400,24,29.974,23.0312,-6.94277
1,1787835600,1787839200,1,42.825,48.5847,5.75967
1,1787835600,1787857200,6,56.321,81.9868,25.6658
1,1787835600,1787922000,24,30.596,32.1452,1.54916
1,1787839200,1787842800,1,59.443,60.9679,1.52492
1,1787839200,1787860800,6,47.472,70.5146,23.0426
1,1787839200,1787925600,24,45.65,46.8751,1.22505
1,1787842800,1787846400,1,70.229,59.6737,-10.5553
1,1787842800,1787864400,6,32.056,64.8329,32.7769
1,1787842800,1787929200,24,70.141,49.3086,-20.8324
1,1787846400,1787850000,1,79.932,75.7464,-4.18556
1,1787846400,1787868000,6,31,39.1351,8.13511
1,1787846400,1787932800,24,63.179,65.4635,2.28452
1,1787850000,1787853600,1,64.402,82.2892,17.8872
1,1787850000,1787871600,6,19.892,24.1447,4.25273
1,1787850000,1787936400,24,71.925,75.0788,3.1538
1,1787853600,1787857200,1,56.321,50.9433,-5.37774
1,1787853600,1787875200,6,24.374,19.0885,-5.28549
1,1787853600,1787940000,24,67.842,58.7483,-9.09371
1,1787857200,1787860800,1,47.472,49.8233,2.3513
1,1787857200,1787878800,6,13.674,20.8843,7.21027
1,1787857200,1787943600,24,53.61,51.1147,-2.49525
1,1787860800,1787864400,1,32.056,39.3706,7.31457
1,1787860800,1787882400,6,2.4,14.5045,12.1045
1,1787860800,1787947200,24,41.628,41.6549,0.0269083
1,1787864400,1787868000,1,31,21.0067,-9.99326
1,1787864400,1787886000,6,16.655,12.9995,-3.65554
1,1787864400,1787950800,24,35.388,26.2595,-9.12853
1,1787868000,1787871600,1,19.892,27.1286,7.2366
1,1787868000,1787889600,6,22.83,8.83809,-13.9919
1,1787868000,1787954400,24,22.982,24.4837,1.50169
1,1787871600,1787875200,1,24.374,9.65402,-14.72
1,1787871600,1787893200,6,44.725,9.506,-35.219
1,1787871600,1787958000,24,19.685,12.7027,-6.98227
1,1787875200,1787878800,1,13.674,17.3011,3.62706
1,1787875200,1787896800,6,45.03,5.86245,-39.1676
1,1787875200,1787961600,24,7.648,14.0971,6.4491
1,1787878800,1787882400,1,2.4,1.1545,-1.2455
1,1787878800,1787900400,6,41.728,12.2431,-29.4849
1,1787878800,1787965200,24,10.473,4.7664,-5.7066
1,1787882400,1787886000,1,16.655,3.02222,-13.6328
1,1787882400,1787904000,6,44.12,15.6913,-28.4287
1,1787882400,1787968800,24,6.13,1.86295,-4.26705
1,1787886000,1787889600,1,22.83,19.3752,-3.45477
1,1787886000,1787907600,6,38.222,21.2431,-16.9789
1,1787886000,1787972400,24,14.363,7.93069,-6.43231
1,1787889600,1787893200,1,44.725,21.4609,-23.2641
1,1787889600,1787911200,6,23.339,24.1124,0.773361
1,1787889600,1787976000,24,25.807,15.0993,-10.7077
1,1787893200,1787896800,1,45.03,42.2947,-2.7353
1,1787893200,1787914800,6,33.26,27.0105,-6.24953
1,1787893200,1787979600,24,30.2,31.197,0.997047
1,1787896800,1787900400,1,41.728,43.9278,2.19977
1,1787896800,1787918400,6,29.974,29.4767,-0.497283
1,1787896800,1787983200,24,41.25,41.0287,-0.221282
1,1787900400,1787904000,1,44.12,40.9487,-3.17128
1,1787900400,1787922000,6,30.596,44.3146,13.7186
1,1787900400,1787986800,24,40.221,37.7665,-2.45455
1,1787904000,1787907600,1,38.222,47.3081,9.08615
1,1787904000,1787925600,6,45.65,53.8766,8.22664
1,1787904000,1787990400,24,39.934,39.8751,-0.0588879
1,1787907600,1787911200,1,23.339,36.9514,13.6124
1,1787907600,1787929200,6,70.141,68.7976,-1.34343
1,1787907600,1787994000,24,30.535,32.4363,1.90129
1,1787911200,1787914800,1,33.26,29.6277,-3.63231
1,1787911200,1787932800,6,63.179,82.4845,19.3055
1,1787911200,1787997600,24,26.875,23.6473,-3.22772
1,1787914800,1787918400,1,29.974,44.5457,14.5717
1,1787914800,1787936400,6,71.925,89.5478,17.6228
1,1787914800,1788001200,24,20.276,26.5481,6.27212
1,1787918400,1787922000,1,30.596,33.7603,3.16432
1,1787918400,1787940000,6,67.842,93.8911,26.0491
1,1787918400,1788004800,24,26.903,22.6354,-4.26765
1,1787922000,1787925600,1,45.65,39.5106,-6.13941
1,1787922000,1787943600,6,53.61,90.376,36.766
1,1787922000,1788008400,24,31.627,25.2899,-6.33708
1,1787925600,1787929200,1,70.141,57.5425,-12.5985
1,1787925600,1787947200,6,41.628,81.5478,39.9198
1,1787925600,1788012000,24,28.316,37.8094,9.4934
1,1787929200,1787932800,1,63.179,68.0421,4.86313
1,1787929200,1787950800,6,35.388,59.9079,24.5199
1,1787929200,1788015600,24,44.436,52.751,8.31497
1,1787932800,1787936400,1,71.925,59.6295,-12.2955
1,1787932800,1787954400,6,22.982,31.1488,8.1668
1,1787932800,1788019200,24,46.429,62.4729,16.0439
1,1787936400,1787940000,1,67.842,72.7445,4.90249
1,1787936400,1787958000,6,19.685,16.902,-2.78301
1,1787936400,1788022800,24,58.021,69.543,11.522
1,1787940000,1787943600,1,53.61,59.9712,6.36119
1,1787940000,1787961600,6,7.648,8.89877,1.25077
1,1787940000,1788026400,24,40.597,64.9911,24.3941
1,1787943600,1787947200,1,41.628,41.4602,-0.167789
1,1787943600,1787965200,6,10.473,10.0066,-0.466379
1,1787943600,1788030000,24,52.56,50.901,-1.65896
1,1787947200,1787950800,1,35.388,31.5333,-3.8547
1,1787947200,1787968800,6,6.13,5.18432,-0.945683
1,1787947200,1788033600,24,39.079,39.212,0.132988
1,1787950800,1787954400,1,22.982,25.1668,2.18477
1,1787950800,1787972400,6,14.363,1.90324,-12.4598
1,1787950800,1788037200,24,31.816,30.5237,-1.29235
1,1787954400,1787958000,1,19.685,14.6436,-5.0414
1,1787954400,1787976000,6,25.807,0,-25.807
1,1787954400,1788040800,24,20.942,21.8614,0.919443
1,1787958000,1787961600,1,7.648,13.5491,5.90114
1,1787958000,1787979600,6,30.2,0,-30.2
1,1787958000,1788044400,24,6.427,16.4596,10.0326
1,1787961600,1787965200,1,10.473,0,-10.473
1,1787961600,1787983200,6,41.25,0,-41.25
1,1787961600,1788048000,24,29.013,6.77182,-22.2412
1,1787965200,1787968800,1,6.13,8.54662,2.41662
1,1787965200,1787986800,6,40.221,0,-40.221
1,1787965200,1788051600,24,16.108,7.76439,-8.34361
1,1787968800,1787972400,1,14.363,2.82505,-11.538
1,1787968800,1787990400,6,39.934,3.97452,-35.9595
1,1787968800,1788055200,24,30.32,4.71725,-25.6027
1,1787972400,1787976000,1,25.807,14.3976,-11.4094
